Price,Marca,Title,Title_url
$339.98|$379.99,Sankey,"Sankey Aire Acondicionado Split Inverter 12,000 Btu ...|Ver todos los detalles",https://rodelag.com/collections/aire-acondicionado/products/aire-acondicionado-split-sankey-6|https://rodelag.com/collections/aire-acondicionado/products/aire-acondicionado-split-sankey-6
$209.98|$249.99,Mystic,"Mystic Aire Acondicionado Split Basico 12,000 Btu MY...|Ver todos los detalles",https://rodelag.com/collections/aire-acondicionado/products/aire-acondicionado-split-my-asr1274-12-000btu-mystic|https://rodelag.com/collections/aire-acondicionado/products/aire-acondicionado-split-my-asr1274-12-000btu-mystic
$319.98|$349.99,Mystic,"Mystic Aire Acondicionado Split Inverter 12,000 Btu ...|Ver todos los detalles",https://rodelag.com/collections/aire-acondicionado/products/aire-acondicionado-invert-split-my-inv1257-12-000btu-mystic|https://rodelag.com/collections/aire-acondicionado/products/aire-acondicionado-invert-split-my-inv1257-12-000btu-mystic
$239.98|$249.99,Sankey,"Sankey Aire Acondicionado Split Basico 12,000 Btu Es...|Ver todos los detalles",https://rodelag.com/collections/aire-acondicionado/products/aire-acondicionado-split-12k-btu-sankey|https://rodelag.com/collections/aire-acondicionado/products/aire-acondicionado-split-12k-btu-sankey
$19.99,Sankey,Sankey Aire Acondicionado Accesorios Soportes V-5000AC,https://rodelag.com/collections/aire-acondicionado/products/soporte-para-aires-acondicionados-sankey
$479.99|$629.99,Lg,"LG Aire Acondicionado Split Inverter 12,000 Btu VM122CW|Ver todos los detalles",https://rodelag.com/collections/aire-acondicionado/products/aire-acondicionado-split-inverter-dualcool-de-12-000-btu-marca-lg|https://rodelag.com/collections/aire-acondicionado/products/aire-acondicionado-split-inverter-dualcool-de-12-000-btu-marca-lg
$599.99,Panasonic,"Panasonic Aire Acondicionado Split Inverter 9,000 Bt...|Ver todos los detalles",https://rodelag.com/collections/aire-acondicionado/products/aire-acondicionado-split-inverter-9000btu-panasonic|https://rodelag.com/collections/aire-acondicionado/products/aire-acondicionado-split-inverter-9000btu-panasonic
$60.00,Rodelag,Instalacion de A/A Split - Basica,https://rodelag.com/collections/aire-acondicionado/products/instalacion-de-aire-acondicionado-split-basica
$399.99|$529.99,Samsung,"Samsung Aire Acondicionado Split Inverter 12,000 Btu...",https://rodelag.com/collections/aire-acondicionado/products/a-a-split-inv-12btu-ar12tvhqbu
$899.99,Panasonic,"Panasonic Aire Acondicionado Split Inverter 18,000 B...|Ver todos los detalles",https://rodelag.com/collections/aire-acondicionado/products/aire-acondicionado-split-inverter-de-18000btu-panasonic-1|https://rodelag.com/collections/aire-acondicionado/products/aire-acondicionado-split-inverter-de-18000btu-panasonic-1
$499.99|$549.99,Sankey,"Sankey Aire Acondicionado Split Inverter 18,000 Btu ...|Ver todos los detalles",https://rodelag.com/collections/aire-acondicionado/products/sankey-aire-acondicionado-split-inverter-18-000-btu-es18invdw1|https://rodelag.com/collections/aire-acondicionado/products/sankey-aire-acondicionado-split-inverter-18-000-btu-es18invdw1
$399.99,Sankey,"Sankey Aire Acondicionado Split Inverter 12,000 Btu ...",https://rodelag.com/collections/aire-acondicionado/products/sankey-aire-acondicionado-split-es-12invbl7-inverter-12-000-btu
$489.99,Sankey,"Sankey Aire Acondicionado Split Basico 24,000 Btu ES...|Ver todos los detalles",https://rodelag.com/collections/aire-acondicionado/products/aire-acondicionado-split-24k-btu-sankey|https://rodelag.com/collections/aire-acondicionado/products/aire-acondicionado-split-24k-btu-sankey
